Hour,P11,P12,P13,P14,P21,P22,P23,P24,P31,P32,P33,P34,P41,P42,P43,P44
0,-0,52.1797,8.47188,4.23594,-52.1797,-0,-43.7078,0,-8.47188,43.7078,-0,-4.23594,-4.23594,-0,4.23594,-0
1,-0,20,-2,-1,-20,-0,-22,0,2,22,-0,1,1,-0,-1,-0
2,-0,75.375,21.75,10.875,-75.375,-0,-53.625,0,-21.75,53.625,-0,-10.875,-10.875,-0,10.875,-0
3,-0,68.375,15.75,7.875,-68.375,-0,-52.625,0,-15.75,52.625,-0,-7.875,-7.875,-0,7.875,-0
4,-0,77.125,23.25,11.625,-77.125,-0,-53.875,0,-23.25,53.875,-0,-11.625,-11.625,-0,11.625,-0
5,-0,69.25,16.5,8.25,-69.25,-0,-52.75,0,-16.5,52.75,-0,-8.25,-8.25,-0,8.25,-0
6,-0,77.5,85,107.5,-77.5,-0,7.5,-0,-85,-7.5,-0,22.5,-107.5,0,-22.5,-0
7,-0,73,82,109,-73,-0,9,-0,-82,-9,-0,27,-109,0,-27,-0
8,-0,79.75,86.5,106.75,-79.75,-0,6.75,-0,-86.5,-6.75,-0,20.25,-106.75,0,-20.25,-0
9,-0,85.75,90.5,104.75,-85.75,-0,4.75,-0,-90.5,-4.75,-0,14.25,-104.75,0,-14.25,-0
10,-0,19.75,46.5,126.75,-19.75,-0,26.75,-0,-46.5,-26.75,-0,80.25,-126.75,0,-80.25,-0
11,-0,12.5,67,230.5,-12.5,-0,54.5,-0,-67,-54.5,-0,163.5,-230.5,0,-163.5,-0
12,-0,-4.25,30.5,134.75,4.25,-0,34.75,-0,-30.5,-34.75,-0,104.25,-134.75,0,-104.25,-0
13,-0,-3.5,31,134.5,3.5,-0,34.5,-0,-31,-34.5,-0,103.5,-134.5,0,-103.5,-0
14,-0,62.5,75,112.5,-62.5,-0,12.5,-0,-75,-12.5,-0,37.5,-112.5,0,-37.5,-0
15,-0,70,80,110,-70,-0,10,-0,-80,-10,-0,30,-110,0,-30,-0
16,-0,75.25,83.5,108.25,-75.25,-0,8.25,-0,-83.5,-8.25,-0,24.75,-108.25,0,-24.75,-0
17,-0,78.25,85.5,107.25,-78.25,-0,7.25,-0,-85.5,-7.25,-0,21.75,-107.25,0,-21.75,-0
18,-0,146,92,46,-146,-0,-54,0,-92,54,-0,-46,-46,-0,46,-0
19,-0,68.5197,20.0395,10.0197,-68.5197,-0,-48.4803,0,-20.0395,48.4803,-0,-10.0197,-10.0197,-0,10.0197,-0
20,-0,61.25,44.5,22.25,-61.25,-0,-16.75,0,-44.5,16.75,-0,-22.25,-22.25,-0,22.25,-0
21,-0,65,46,23,-65,-0,-19,0,-46,19,-0,-23,-23,-0,23,-0
22,-0,71.25,48.5,24.25,-71.25,-0,-22.75,0,-48.5,22.75,-0,-24.25,-24.25,-0,24.25,-0
23,-0,50,0,0,-50,-0,-50,0,0,50,-0,0,0,-0,0,-0
