Hour,Theta1,Theta2,Theta3,Theta4
0,0.423594,-4.79438,-0.423594,0
1,-0.1,-2.1,0.1,0
2,1.0875,-6.45,-1.0875,0
3,0.7875,-6.05,-0.7875,0
4,1.1625,-6.55,-1.1625,0
5,0.825,-6.1,-0.825,0
6,10.75,3,2.25,0
7,10.9,3.6,2.7,0
8,10.675,2.7,2.025,0
9,10.475,1.9,1.425,0
10,12.675,10.7,8.025,0
11,23.05,21.8,16.35,0
12,13.475,13.9,10.425,0
13,13.45,13.8,10.35,0
14,11.25,5,3.75,0
15,11,4,3,0
16,10.825,3.3,2.475,0
17,10.725,2.9,2.175,0
18,4.6,-10,-4.6,0
19,1.00197,-5.85,-1.00197,0
20,2.225,-3.9,-2.225,0
21,2.3,-4.2,-2.3,0
22,2.425,-4.7,-2.425,0
23,0,-5,0,0
